sampleID,Kitchen,Living Room,Laundry Room,Office Room,Bathroom,North building,Ironing Room,Teenager room,Parents room
1,19.89,19.2,19.79,19.0,17.1666666666667,7.026666666666671,17.2,18.2,17.033333333333303
2,19.89,19.2,19.79,19.0,17.1666666666667,6.8333333333333295,17.2,18.2,17.0666666666667
3,19.89,19.2,19.79,18.926666666666698,17.1666666666667,6.56,17.2,18.2,17.0
4,19.89,19.2,19.79,18.89,17.1666666666667,6.43333333333333,17.1333333333333,18.1,17.0
5,19.89,19.2,19.79,18.89,17.2,6.366666666666671,17.2,18.1,17.0
6,19.89,19.2,19.79,18.89,17.1333333333333,6.3,17.1333333333333,18.1,17.0
7,19.89,19.2,19.79,18.89,17.1,6.263333333333329,17.1333333333333,18.1,17.0
8,19.856666666666698,19.2,19.73,18.89,17.1,6.19,17.1,18.1,17.0
9,19.79,19.2,19.73,18.89,17.1666666666667,6.1233333333333295,17.1666666666667,18.1,17.0
10,19.856666666666698,19.23,19.79,18.89,17.1,6.19,17.2,18.1,17.0
11,19.926666666666698,19.356666666666698,19.79,18.89,17.1,6.19,17.2475,18.1,17.0
12,20.066666666666695,19.426666666666698,19.79,19.0,17.1,6.1233333333333295,17.53,18.066666666666695,16.89
13,20.1333333333333,19.566666666666695,19.89,19.0,17.1,6.1233333333333295,17.823333333333302,18.066666666666695,16.963333333333303
14,20.26,19.73,19.89,19.0,17.1,6.0675,17.963333333333303,18.033333333333296,16.89
15,20.426666666666698,19.856666666666698,20.033333333333296,19.0,17.1,5.9,17.963333333333303,18.1,16.89
16,20.566666666666695,20.033333333333296,20.1,19.0,17.15,5.8,17.89,18.15,16.89
17,20.73,20.1666666666667,20.2,18.926666666666698,17.1666666666667,5.72666666666667,17.760000000000005,18.23,16.89
18,20.856666666666698,20.2,20.2,18.89,17.2,5.526666666666669,17.7,18.356666666666698,16.89
19,20.89,20.2,20.2,18.963333333333296,17.2,5.3333333333333295,17.6666666666667,18.533333333333296,16.89
20,20.89,20.2,20.1666666666667,19.033333333333296,17.5933333333333,5.3333333333333295,17.6,18.6666666666667,16.89
21,20.89,20.2,20.1666666666667,19.175,18.066666666666695,5.46666666666667,17.6,18.73,16.89
22,20.963333333333296,20.26,20.2,19.26,17.6666666666667,5.5,17.533333333333303,18.856666666666698,16.89
23,21.033333333333296,20.29,20.26,19.323333333333295,17.6,5.56,17.6333333333333,18.89,16.89
24,21.1,20.356666666666698,20.29,19.39,17.5666666666667,5.6233333333333295,17.760000000000005,18.963333333333296,16.89
25,21.1333333333333,20.426666666666698,20.29,19.39,17.760000000000005,5.763333333333329,17.856666666666698,19.0,16.89
26,21.2,20.5,20.39,19.39,18.356666666666698,5.656666666666669,17.79,19.066666666666695,16.89
27,21.29,20.533333333333296,20.39,19.39,18.356666666666698,5.53,17.89,19.1333333333333,16.89
28,21.356666666666698,20.6666666666667,20.39,19.39,18.6,5.43333333333333,17.89,19.2,16.89
29,21.39,20.7,20.39,19.426666666666698,18.6666666666667,5.5,17.89,19.23,16.89
30,21.5,20.7,20.39,19.566666666666695,18.823333333333295,5.59,17.864999999999995,19.29,16.89
31,21.5,20.79,20.39,19.6666666666667,18.963333333333296,5.59,17.79,19.29,16.823333333333302
32,21.533333333333296,20.79,20.426666666666698,19.6,19.033333333333296,5.656666666666669,17.79,19.356666666666698,16.823333333333302
33,21.6,20.89,20.5,19.696666666666697,19.1,5.8333333333333295,17.79,19.39,16.89
34,21.6,20.963333333333296,20.5,20.0966666666667,19.158333333333296,5.9,17.79,19.39,16.89
35,21.6,21.0,20.5,20.5966666666667,19.2,6.0,17.79,19.34,16.823333333333302
36,21.6,21.0,20.5,20.9966666666667,19.2225,6.0,17.7,19.29,16.89
37,21.6,21.0,20.4175,21.1666666666667,19.29,5.96666666666667,17.7,19.356666666666698,16.89
38,21.6,21.0,20.39,21.033333333333296,19.29,5.9,17.7,19.39,16.89
39,21.6,21.0,20.29,20.963333333333296,19.29,5.763333333333329,17.7,19.39,16.89
40,21.5,20.926666666666698,20.29,20.865,19.29,5.6233333333333295,17.7,19.39,16.89
41,21.5,20.89,20.29,20.73,19.29,5.59,17.7,19.39,16.89
42,21.39,20.79,20.23,20.7,19.2,5.59,17.7,19.39,16.89
43,21.39,20.79,20.2,20.6333333333333,19.2,5.59,17.7,19.39,16.89
44,21.29,20.7,20.2,20.566666666666695,19.2,5.53,17.7,19.463333333333296,16.89
45,21.29,20.6333333333333,20.1666666666667,20.5,19.2,5.53,17.760000000000005,19.39,16.89
46,21.26,20.6,20.1,20.5,19.1666666666667,5.53,17.79,19.39,16.89
47,21.2,20.6,20.1,20.426666666666698,19.1,5.4,17.79,19.39,16.89
48,21.1666666666667,20.5,20.1,20.46,19.066666666666695,5.2,17.79,19.356666666666698,16.89
49,21.075,20.5,20.1,20.7933333333333,19.0,4.866666666666669,17.79,19.29,16.89
50,21.0,20.39,20.1,21.2633333333333,19.0,4.93333333333333,17.79,19.29,16.89
51,21.0,20.39,20.1,21.5966666666667,19.0,5.0,17.79,19.23,16.89
